EventInstanceID,EventDefinitionID,EventDateTimeStart,EventDateTimeEnd,EventLocation,EventCapacity,EventRegistrationDeadline
EI42,ED1,2023-06-18 10:00:00,2023-06-18 12:00:00,Art Studio 2,100,2023-06-11 10:00:00
EI43,ED1,2021-12-05 10:00:00,2021-12-05 12:00:00,Community Center Room A,100,2021-11-28 10:00:00
EI44,ED3,2024-10-22 10:00:00,2024-10-22 12:00:00,Art Studio 2,100,2024-10-15 10:00:00
EI45,ED3,2023-10-10 10:00:00,2023-10-10 12:00:00,Ella Rises HQ,100,2023-10-03 10:00:00
EI46,ED1,2022-09-04 10:00:00,2022-09-04 12:00:00,Virtual Zoom,100,2022-08-28 10:00:00
EI47,ED1,2025-03-09 10:00:00,2025-03-09 12:00:00,Art Studio 2,100,2025-03-02 10:00:00
EI48,ED2,2023-04-15 10:00:00,2023-04-15 12:00:00,Ella Rises HQ,100,2023-04-08 10:00:00
EI49,ED1,2023-10-22 10:00:00,2023-10-22 12:00:00,Community Center Room A,100,2023-10-15 10:00:00
EI50,ED1,2023-05-07 10:00:00,2023-05-07 12:00:00,Ella Rises HQ,100,2023-04-30 10:00:00
EI51,ED3,2023-05-16 10:00:00,2023-05-16 12:00:00,Local Library,100,2023-05-09 10:00:00
EI52,ED7,2023-03-15 10:00:00,2023-03-15 12:00:00,Local Library,100,2023-03-08 10:00:00
EI53,ED8,2024-12-27 10:00:00,2024-12-27 12:00:00,Local Library,100,2024-12-20 10:00:00
EI54,ED7,2022-12-15 10:00:00,2022-12-15 12:00:00,Ella Rises HQ,100,2022-12-08 10:00:00
EI55,ED8,2025-05-09 10:00:00,2025-05-09 12:00:00,Virtual Zoom,100,2025-05-02 10:00:00
EI56,ED3,2025-05-13 10:00:00,2025-05-13 12:00:00,Local Library,100,2025-05-06 10:00:00
EI57,ED1,2023-08-20 10:00:00,2023-08-20 12:00:00,Art Studio 2,100,2023-08-13 10:00:00
EI58,ED1,2023-10-01 10:00:00,2023-10-01 12:00:00,Local Library,100,2023-09-24 10:00:00
EI59,ED5,2025-09-04 10:00:00,2025-09-04 12:00:00,Local Library,100,2025-08-28 10:00:00
EI60,ED2,2024-04-27 10:00:00,2024-04-27 12:00:00,Ella Rises HQ,100,2024-04-20 10:00:00
EI61,ED2,2023-03-04 10:00:00,2023-03-04 12:00:00,Local Library,100,2023-02-25 10:00:00
EI62,ED3,2024-08-06 10:00:00,2024-08-06 12:00:00,Local Library,100,2024-07-30 10:00:00
EI63,ED8,2025-02-28 10:00:00,2025-02-28 12:00:00,Community Center Room A,100,2025-02-21 10:00:00
EI64,ED1,2024-05-12 10:00:00,2024-05-12 12:00:00,Community Center Room A,100,2024-05-05 10:00:00
EI65,ED1,2025-11-02 10:00:00,2025-11-02 12:00:00,Community Center Room A,100,2025-10-26 10:00:00
EI66,ED3,2022-09-27 10:00:00,2022-09-27 12:00:00,Art Studio 2,100,2022-09-20 10:00:00
EI67,ED6,2025-09-24 10:00:00,2025-09-24 12:00:00,Local Library,100,2025-09-17 10:00:00
EI68,ED3,2024-10-15 10:00:00,2024-10-15 12:00:00,Ella Rises HQ,100,2024-10-08 10:00:00
EI69,ED2,2022-09-24 10:00:00,2022-09-24 12:00:00,Local Library,100,2022-09-17 10:00:00
EI70,ED1,2021-11-14 10:00:00,2021-11-14 12:00:00,Art Studio 2,100,2021-11-07 10:00:00
EI71,ED6,2023-05-31 10:00:00,2023-05-31 12:00:00,Ella Rises HQ,100,2023-05-24 10:00:00
EI72,ED1,2025-07-20 10:00:00,2025-07-20 12:00:00,Community Center Room A,100,2025-07-13 10:00:00
EI73,ED1,2024-06-09 10:00:00,2024-06-09 12:00:00,Local Library,100,2024-06-02 10:00:00
EI74,ED2,2021-12-04 10:00:00,2021-12-04 12:00:00,Local Library,100,2021-11-27 10:00:00
EI75,ED6,2025-08-13 10:00:00,2025-08-13 12:00:00,Art Studio 2,100,2025-08-06 10:00:00
EI76,ED8,2023-03-24 10:00:00,2023-03-24 12:00:00,Virtual Zoom,100,2023-03-17 10:00:00
EI77,ED8,2024-04-26 10:00:00,2024-04-26 12:00:00,Community Center Room A,100,2024-04-19 10:00:00
EI78,ED4,2024-02-15 10:00:00,2024-02-15 12:00:00,Ella Rises HQ,100,2024-02-08 10:00:00
EI79,ED6,2023-08-30 10:00:00,2023-08-30 12:00:00,Ella Rises HQ,100,2023-08-23 10:00:00
EI80,ED1,2025-08-31 10:00:00,2025-08-31 12:00:00,Community Center Room A,100,2025-08-24 10:00:00
EI81,ED6,2025-10-29 10:00:00,2025-10-29 12:00:00,Local Library,100,2025-10-22 10:00:00
EI82,ED8,2025-02-14 10:00:00,2025-02-14 12:00:00,Community Center Room A,100,2025-02-07 10:00:00
EI83,ED6,2025-04-23 10:00:00,2025-04-23 12:00:00,Virtual Zoom,100,2025-04-16 10:00:00
EI84,ED6,2022-02-09 10:00:00,2022-02-09 12:00:00,Community Center Room A,100,2022-02-02 10:00:00
EI85,ED5,2024-04-11 10:00:00,2024-04-11 12:00:00,Community Center Room A,100,2024-04-04 10:00:00
EI86,ED2,2023-08-19 10:00:00,2023-08-19 12:00:00,Virtual Zoom,100,2023-08-12 10:00:00
EI87,ED1,2024-09-29 10:00:00,2024-09-29 12:00:00,Virtual Zoom,100,2024-09-22 10:00:00
EI88,ED6,2024-04-10 10:00:00,2024-04-10 12:00:00,Ella Rises HQ,100,2024-04-03 10:00:00
EI89,ED1,2023-03-12 10:00:00,2023-03-12 12:00:00,Ella Rises HQ,100,2023-03-05 10:00:00
EI90,ED3,2024-02-20 10:00:00,2024-02-20 12:00:00,Art Studio 2,100,2024-02-13 10:00:00
EI91,ED3,2025-02-18 10:00:00,2025-02-18 12:00:00,Ella Rises HQ,100,2025-02-11 10:00:00
EI92,ED1,2025-10-12 10:00:00,2025-10-12 12:00:00,Local Library,100,2025-10-05 10:00:00
EI93,ED1,2022-09-25 10:00:00,2022-09-25 12:00:00,Local Library,100,2022-09-18 10:00:00
EI94,ED1,2022-12-18 10:00:00,2022-12-18 12:00:00,Community Center Room A,100,2022-12-11 10:00:00
EI95,ED10,2022-07-15 10:00:00,2022-07-15 12:00:00,Local Library,100,2022-07-08 10:00:00
EI96,ED1,2022-11-13 10:00:00,2022-11-13 12:00:00,Ella Rises HQ,100,2022-11-06 10:00:00
EI97,ED10,2022-02-15 10:00:00,2022-02-15 12:00:00,Virtual Zoom,100,2022-02-08 10:00:00
EI98,ED5,2025-06-12 10:00:00,2025-06-12 12:00:00,Art Studio 2,100,2025-06-05 10:00:00
EI99,ED5,2023-06-29 10:00:00,2023-06-29 12:00:00,Virtual Zoom,100,2023-06-22 10:00:00
EI100,ED5,2024-03-28 10:00:00,2024-03-28 12:00:00,Community Center Room A,100,2024-03-21 10:00:00
EI101,ED1,2024-07-21 10:00:00,2024-07-21 12:00:00,Community Center Room A,100,2024-07-14 10:00:00
EI102,ED5,2025-02-13 10:00:00,2025-02-13 12:00:00,Art Studio 2,100,2025-02-06 10:00:00
EI103,ED5,2023-11-02 10:00:00,2023-11-02 12:00:00,Community Center Room A,100,2023-10-26 10:00:00
EI104,ED1,2025-01-26 10:00:00,2025-01-26 12:00:00,Art Studio 2,100,2025-01-19 10:00:00
EI105,ED1,2022-05-01 10:00:00,2022-05-01 12:00:00,Community Center Room A,100,2022-04-24 10:00:00
EI106,ED3,2025-02-04 10:00:00,2025-02-04 12:00:00,Ella Rises HQ,100,2025-01-28 10:00:00
EI107,ED5,2025-08-14 10:00:00,2025-08-14 12:00:00,Community Center Room A,100,2025-08-07 10:00:00
EI108,ED1,2024-03-10 10:00:00,2024-03-10 12:00:00,Art Studio 2,100,2024-03-03 10:00:00
EI109,ED1,2024-08-18 10:00:00,2024-08-18 12:00:00,Art Studio 2,100,2024-08-11 10:00:00
EI110,ED2,2022-08-13 10:00:00,2022-08-13 12:00:00,Ella Rises HQ,100,2022-08-06 10:00:00
EI111,ED2,2025-08-23 10:00:00,2025-08-23 12:00:00,Local Library,100,2025-08-16 10:00:00
EI112,ED3,2022-11-01 10:00:00,2022-11-01 12:00:00,Local Library,100,2022-10-25 10:00:00
EI113,ED6,2022-10-12 10:00:00,2022-10-12 12:00:00,Community Center Room A,100,2022-10-05 10:00:00
EI114,ED3,2025-08-05 10:00:00,2025-08-05 12:00:00,Local Library,100,2025-07-29 10:00:00
EI115,ED6,2022-03-16 10:00:00,2022-03-16 12:00:00,Virtual Zoom,100,2022-03-09 10:00:00
EI116,ED1,2025-09-21 10:00:00,2025-09-21 12:00:00,Local Library,100,2025-09-14 10:00:00
EI117,ED1,2022-02-27 10:00:00,2022-02-27 12:00:00,Virtual Zoom,100,2022-02-20 10:00:00
EI118,ED1,2025-07-27 10:00:00,2025-07-27 12:00:00,Community Center Room A,100,2025-07-20 10:00:00
EI119,ED3,2023-02-28 10:00:00,2023-02-28 12:00:00,Local Library,100,2023-02-21 10:00:00
EI120,ED5,2023-09-28 10:00:00,2023-09-28 12:00:00,Virtual Zoom,100,2023-09-21 10:00:00
EI121,ED1,2025-06-01 10:00:00,2025-06-01 12:00:00,Art Studio 2,100,2025-05-25 10:00:00
EI122,ED5,2024-02-08 10:00:00,2024-02-08 12:00:00,Local Library,100,2024-02-01 10:00:00
EI123,ED8,2021-12-03 10:00:00,2021-12-03 12:00:00,Art Studio 2,100,2021-11-26 10:00:00
EI124,ED6,2024-11-20 10:00:00,2024-11-20 12:00:00,Local Library,100,2024-11-13 10:00:00
EI125,ED2,2025-04-19 10:00:00,2025-04-19 12:00:00,Ella Rises HQ,100,2025-04-12 10:00:00
EI126,ED6,2025-01-29 10:00:00,2025-01-29 12:00:00,Ella Rises HQ,100,2025-01-22 10:00:00
EI127,ED1,2025-05-25 10:00:00,2025-05-25 12:00:00,Art Studio 2,100,2025-05-18 10:00:00
EI128,ED3,2024-04-02 10:00:00,2024-04-02 12:00:00,Ella Rises HQ,100,2024-03-26 10:00:00
EI129,ED3,2023-07-11 10:00:00,2023-07-11 12:00:00,Local Library,100,2023-07-04 10:00:00
EI130,ED1,2025-06-15 10:00:00,2025-06-15 12:00:00,Virtual Zoom,100,2025-06-08 10:00:00
EI131,ED3,2022-06-07 10:00:00,2022-06-07 12:00:00,Art Studio 2,100,2022-05-31 10:00:00
EI132,ED10,2025-09-15 10:00:00,2025-09-15 12:00:00,Ella Rises HQ,100,2025-09-08 10:00:00
EI133,ED1,2023-10-08 10:00:00,2023-10-08 12:00:00,Community Center Room A,100,2023-10-01 10:00:00
EI134,ED5,2023-07-06 10:00:00,2023-07-06 12:00:00,Local Library,100,2023-06-29 10:00:00
EI135,ED1,2022-08-21 10:00:00,2022-08-21 12:00:00,Art Studio 2,100,2022-08-14 10:00:00
EI136,ED1,2025-09-14 10:00:00,2025-09-14 12:00:00,Virtual Zoom,100,2025-09-07 10:00:00
EI137,ED1,2022-12-11 10:00:00,2022-12-11 12:00:00,Ella Rises HQ,100,2022-12-04 10:00:00
EI138,ED1,2022-11-06 10:00:00,2022-11-06 12:00:00,Local Library,100,2022-10-30 10:00:00
EI139,ED1,2023-10-15 10:00:00,2023-10-15 12:00:00,Community Center Room A,100,2023-10-08 10:00:00
EI140,ED2,2024-07-13 10:00:00,2024-07-13 12:00:00,Community Center Room A,100,2024-07-06 10:00:00
EI141,ED2,2023-10-28 10:00:00,2023-10-28 12:00:00,Ella Rises HQ,100,2023-10-21 10:00:00
EI142,ED3,2023-08-29 10:00:00,2023-08-29 12:00:00,Art Studio 2,100,2023-08-22 10:00:00
EI143,ED7,2021-12-15 10:00:00,2021-12-15 12:00:00,Community Center Room A,100,2021-12-08 10:00:00
EI144,ED6,2023-01-25 10:00:00,2023-01-25 12:00:00,Local Library,100,2023-01-18 10:00:00
EI145,ED9,2023-06-15 10:00:00,2023-06-15 12:00:00,Community Center Room A,100,2023-06-08 10:00:00
EI146,ED2,2023-04-22 10:00:00,2023-04-22 12:00:00,Virtual Zoom,100,2023-04-15 10:00:00
EI147,ED2,2025-01-04 10:00:00,2025-01-04 12:00:00,Community Center Room A,100,2024-12-28 10:00:00
EI148,ED8,2022-03-25 10:00:00,2022-03-25 12:00:00,Community Center Room A,100,2022-03-18 10:00:00
EI149,ED4,2024-04-15 10:00:00,2024-04-15 12:00:00,Art Studio 2,100,2024-04-08 10:00:00
EI150,ED3,2025-10-28 10:00:00,2025-10-28 12:00:00,Ella Rises HQ,100,2025-10-21 10:00:00
EI151,ED6,2024-08-14 10:00:00,2024-08-14 12:00:00,Virtual Zoom,100,2024-08-07 10:00:00
EI152,ED8,2022-05-13 10:00:00,2022-05-13 12:00:00,Local Library,100,2022-05-06 10:00:00
EI153,ED2,2022-04-09 10:00:00,2022-04-09 12:00:00,Community Center Room A,100,2022-04-02 10:00:00
EI154,ED6,2021-12-01 10:00:00,2021-12-01 12:00:00,Virtual Zoom,100,2021-11-24 10:00:00
EI155,ED6,2025-02-05 10:00:00,2025-02-05 12:00:00,Art Studio 2,100,2025-01-29 10:00:00
EI156,ED1,2025-03-16 10:00:00,2025-03-16 12:00:00,Local Library,100,2025-03-09 10:00:00
EI157,ED8,2022-01-14 10:00:00,2022-01-14 12:00:00,Virtual Zoom,100,2022-01-07 10:00:00
EI158,ED6,2024-05-22 10:00:00,2024-05-22 12:00:00,Art Studio 2,100,2024-05-15 10:00:00
EI159,ED3,2021-12-28 10:00:00,2021-12-28 12:00:00,Art Studio 2,100,2021-12-21 10:00:00
EI160,ED8,2023-01-20 10:00:00,2023-01-20 12:00:00,Art Studio 2,100,2023-01-13 10:00:00
EI161,ED1,2025-09-28 10:00:00,2025-09-28 12:00:00,Ella Rises HQ,100,2025-09-21 10:00:00
EI162,ED1,2024-10-20 10:00:00,2024-10-20 12:00:00,Local Library,100,2024-10-13 10:00:00
EI163,ED5,2025-08-21 10:00:00,2025-08-21 12:00:00,Virtual Zoom,100,2025-08-14 10:00:00
EI164,ED6,2022-10-05 10:00:00,2022-10-05 12:00:00,Art Studio 2,100,2022-09-28 10:00:00
EI165,ED3,2022-05-24 10:00:00,2022-05-24 12:00:00,Ella Rises HQ,100,2022-05-17 10:00:00
EI166,ED3,2023-04-18 10:00:00,2023-04-18 12:00:00,Local Library,100,2023-04-11 10:00:00
EI167,ED3,2023-01-10 10:00:00,2023-01-10 12:00:00,Ella Rises HQ,100,2023-01-03 10:00:00
EI168,ED8,2023-09-08 10:00:00,2023-09-08 12:00:00,Art Studio 2,100,2023-09-01 10:00:00
EI169,ED2,2025-05-31 10:00:00,2025-05-31 12:00:00,Art Studio 2,100,2025-05-24 10:00:00
EI170,ED1,2023-02-05 10:00:00,2023-02-05 12:00:00,Community Center Room A,100,2023-01-29 10:00:00
EI171,ED5,2023-08-03 10:00:00,2023-08-03 12:00:00,Art Studio 2,100,2023-07-27 10:00:00
EI172,ED1,2023-01-01 10:00:00,2023-01-01 12:00:00,Virtual Zoom,100,2022-12-25 10:00:00
EI173,ED1,2022-10-30 10:00:00,2022-10-30 12:00:00,Local Library,100,2022-10-23 10:00:00
EI174,ED3,2023-03-21 10:00:00,2023-03-21 12:00:00,Ella Rises HQ,100,2023-03-14 10:00:00
EI175,ED2,2023-12-02 10:00:00,2023-12-02 12:00:00,Art Studio 2,100,2023-11-25 10:00:00
EI176,ED2,2024-03-02 10:00:00,2024-03-02 12:00:00,Virtual Zoom,100,2024-02-24 10:00:00
EI177,ED2,2025-09-27 10:00:00,2025-09-27 12:00:00,Virtual Zoom,100,2025-09-20 10:00:00
EI178,ED1,2024-03-17 10:00:00,2024-03-17 12:00:00,Local Library,100,2024-03-10 10:00:00
EI179,ED1,2024-06-30 10:00:00,2024-06-30 12:00:00,Local Library,100,2024-06-23 10:00:00
EI180,ED2,2024-08-03 10:00:00,2024-08-03 12:00:00,Virtual Zoom,100,2024-07-27 10:00:00
EI181,ED3,2022-11-15 10:00:00,2022-11-15 12:00:00,Community Center Room A,100,2022-11-08 10:00:00
EI182,ED8,2023-12-15 10:00:00,2023-12-15 12:00:00,Art Studio 2,100,2023-12-08 10:00:00
EI183,ED5,2023-10-12 10:00:00,2023-10-12 12:00:00,Community Center Room A,100,2023-10-05 10:00:00
EI184,ED6,2025-07-09 10:00:00,2025-07-09 12:00:00,Local Library,100,2025-07-02 10:00:00
EI185,ED6,2025-06-18 10:00:00,2025-06-18 12:00:00,Virtual Zoom,100,2025-06-11 10:00:00
EI186,ED1,2022-06-19 10:00:00,2022-06-19 12:00:00,Virtual Zoom,100,2022-06-12 10:00:00
EI187,ED6,2023-10-04 10:00:00,2023-10-04 12:00:00,Ella Rises HQ,100,2023-09-27 10:00:00
EI188,ED5,2022-07-07 10:00:00,2022-07-07 12:00:00,Virtual Zoom,100,2022-06-30 10:00:00
EI189,ED8,2021-11-19 10:00:00,2021-11-19 12:00:00,Community Center Room A,100,2021-11-12 10:00:00
EI190,ED10,2023-09-15 10:00:00,2023-09-15 12:00:00,Art Studio 2,100,2023-09-08 10:00:00
EI191,ED1,2023-11-26 10:00:00,2023-11-26 12:00:00,Art Studio 2,100,2023-11-19 10:00:00
EI192,ED7,2024-10-15 10:00:00,2024-10-15 12:00:00,Ella Rises HQ,100,2024-10-08 10:00:00
EI193,ED5,2022-04-14 10:00:00,2022-04-14 12:00:00,Art Studio 2,100,2022-04-07 10:00:00
EI194,ED3,2022-06-14 10:00:00,2022-06-14 12:00:00,Virtual Zoom,100,2022-06-07 10:00:00
EI195,ED8,2023-04-28 10:00:00,2023-04-28 12:00:00,Local Library,100,2023-04-21 10:00:00
EI196,ED2,2022-05-21 10:00:00,2022-05-21 12:00:00,Local Library,100,2022-05-14 10:00:00
EI197,ED8,2025-07-04 10:00:00,2025-07-04 12:00:00,Ella Rises HQ,100,2025-06-27 10:00:00
EI198,ED3,2021-11-30 10:00:00,2021-11-30 12:00:00,Virtual Zoom,100,2021-11-23 10:00:00
EI199,ED2,2025-06-21 10:00:00,2025-06-21 12:00:00,Art Studio 2,100,2025-06-14 10:00:00
EI200,ED3,2025-03-25 10:00:00,2025-03-25 12:00:00,Ella Rises HQ,100,2025-03-18 10:00:00
EI201,ED3,2022-01-11 10:00:00,2022-01-11 12:00:00,Art Studio 2,100,2022-01-04 10:00:00
EI202,ED6,2022-05-25 10:00:00,2022-05-25 12:00:00,Ella Rises HQ,100,2022-05-18 10:00:00
EI203,ED6,2022-07-06 10:00:00,2022-07-06 12:00:00,Local Library,100,2022-06-29 10:00:00
EI204,ED2,2024-06-01 10:00:00,2024-06-01 12:00:00,Community Center Room A,100,2024-05-25 10:00:00
EI205,ED2,2024-05-11 10:00:00,2024-05-11 12:00:00,Community Center Room A,100,2024-05-04 10:00:00
EI206,ED5,2023-03-16 10:00:00,2023-03-16 12:00:00,Local Library,100,2023-03-09 10:00:00
EI207,ED8,2025-01-31 10:00:00,2025-01-31 12:00:00,Ella Rises HQ,100,2025-01-24 10:00:00
EI208,ED3,2022-02-15 10:00:00,2022-02-15 12:00:00,Ella Rises HQ,100,2022-02-08 10:00:00
EI209,ED1,2023-05-14 10:00:00,2023-05-14 12:00:00,Ella Rises HQ,100,2023-05-07 10:00:00
EI210,ED8,2025-08-15 10:00:00,2025-08-15 12:00:00,Ella Rises HQ,100,2025-08-08 10:00:00
EI211,ED10,2024-10-15 10:00:00,2024-10-15 12:00:00,Art Studio 2,100,2024-10-08 10:00:00
EI212,ED3,2025-07-15 10:00:00,2025-07-15 12:00:00,Virtual Zoom,100,2025-07-08 10:00:00
EI213,ED2,2025-01-25 10:00:00,2025-01-25 12:00:00,Community Center Room A,100,2025-01-18 10:00:00
EI214,ED6,2025-04-16 10:00:00,2025-04-16 12:00:00,Virtual Zoom,100,2025-04-09 10:00:00
EI215,ED3,2023-12-12 10:00:00,2023-12-12 12:00:00,Virtual Zoom,100,2023-12-05 10:00:00
EI216,ED1,2022-10-02 10:00:00,2022-10-02 12:00:00,Virtual Zoom,100,2022-09-25 10:00:00
EI217,ED5,2024-08-29 10:00:00,2024-08-29 12:00:00,Art Studio 2,100,2024-08-22 10:00:00
EI218,ED1,2023-06-25 10:00:00,2023-06-25 12:00:00,Ella Rises HQ,100,2023-06-18 10:00:00
EI219,ED10,2022-12-15 10:00:00,2022-12-15 12:00:00,Local Library,100,2022-12-08 10:00:00
EI220,ED2,2023-07-15 10:00:00,2023-07-15 12:00:00,Local Library,100,2023-07-08 10:00:00
EI221,ED1,2024-09-01 10:00:00,2024-09-01 12:00:00,Community Center Room A,100,2024-08-25 10:00:00
EI222,ED2,2022-05-14 10:00:00,2022-05-14 12:00:00,Local Library,100,2022-05-07 10:00:00
EI223,ED3,2024-05-21 10:00:00,2024-05-21 12:00:00,Local Library,100,2024-05-14 10:00:00
EI224,ED5,2022-11-10 10:00:00,2022-11-10 12:00:00,Community Center Room A,100,2022-11-03 10:00:00
EI225,ED2,2022-03-05 10:00:00,2022-03-05 12:00:00,Local Library,100,2022-02-26 10:00:00
EI226,ED1,2022-03-06 10:00:00,2022-03-06 12:00:00,Community Center Room A,100,2022-02-27 10:00:00
EI227,ED6,2023-10-11 10:00:00,2023-10-11 12:00:00,Local Library,100,2023-10-04 10:00:00
EI228,ED6,2025-07-16 10:00:00,2025-07-16 12:00:00,Community Center Room A,100,2025-07-09 10:00:00
EI229,ED2,2022-09-03 10:00:00,2022-09-03 12:00:00,Art Studio 2,100,2022-08-27 10:00:00
EI230,ED10,2024-07-15 10:00:00,2024-07-15 12:00:00,Community Center Room A,100,2024-07-08 10:00:00
EI231,ED3,2024-09-24 10:00:00,2024-09-24 12:00:00,Local Library,100,2024-09-17 10:00:00
EI232,ED5,2024-09-19 10:00:00,2024-09-19 12:00:00,Ella Rises HQ,100,2024-09-12 10:00:00
EI233,ED8,2025-06-20 10:00:00,2025-06-20 12:00:00,Art Studio 2,100,2025-06-13 10:00:00
EI234,ED7,2024-11-15 10:00:00,2024-11-15 12:00:00,Art Studio 2,100,2024-11-08 10:00:00
EI235,ED1,2022-01-16 10:00:00,2022-01-16 12:00:00,Local Library,100,2022-01-09 10:00:00
EI236,ED3,2024-06-04 10:00:00,2024-06-04 12:00:00,Community Center Room A,100,2024-05-28 10:00:00
EI237,ED3,2023-01-24 10:00:00,2023-01-24 12:00:00,Community Center Room A,100,2023-01-17 10:00:00
EI238,ED8,2022-06-10 10:00:00,2022-06-10 12:00:00,Ella Rises HQ,100,2022-06-03 10:00:00
EI239,ED6,2024-01-31 10:00:00,2024-01-31 12:00:00,Art Studio 2,100,2024-01-24 10:00:00
EI240,ED11,2025-06-15 10:00:00,2025-06-15 12:00:00,Community Center Room A,100,2025-06-08 10:00:00
EI241,ED5,2023-01-26 10:00:00,2023-01-26 12:00:00,Ella Rises HQ,100,2023-01-19 10:00:00
EI242,ED5,2025-01-09 10:00:00,2025-01-09 12:00:00,Art Studio 2,100,2025-01-02 10:00:00
EI243,ED10,2025-06-15 10:00:00,2025-06-15 12:00:00,Virtual Zoom,100,2025-06-08 10:00:00
EI244,ED4,2025-04-15 10:00:00,2025-04-15 12:00:00,Ella Rises HQ,100,2025-04-08 10:00:00
